Year,Month,Day,Time,Lat,Lon,Depth,Mag,Region,Timestamp
2008,12,23,13:20:36,25.0554,91.9149,19.4,4.0,INDIA-BANGLADESH BORDER REGION,1230038436
2008,11,27,23:44:42,21.3224,92.1292,0.0,3.3,MYANMAR-BANGLADESH BORDER REGION,1227829482
2008,11,22,13:26:25,22.0351,92.2637,0.0,3.4,INDIA-BANGLADESH BORDER REGION,1227360385
2008,11,18,23:15:20,23.2206,90.5918,15.7,3.6,BANGLADESH,1227050120
2008,11,18,23:00:45,23.6819,91.1709,9.4,3.8,INDIA-BANGLADESH BORDER REGION,1227049245
2008,10,30,08:59:52,22.3872,92.2269,103.1,3.8,INDIA-BANGLADESH BORDER REGION,1225357192
2008,10,27,20:01:33,23.2516,90.5913,12.4,3.6,BANGLADESH,1225137693
2008,10,16,16:59:06,21.8174,92.6593,35.0,3.4,MYANMAR-BANGLADESH BORDER REGION,1224176346
2008,9,27,03:29:09,21.1544,92.6838,35.0,4.1,MYANMAR-BANGLADESH BORDER REGION,1222486149
2008,9,20,12:21:31,23.4972,90.8078,11.7,3.3,BANGLADESH,1221913291
2008,9,20,12:00:51,23.4719,90.8007,10.0,4.2,BANGLADESH,1221912051
2008,9,20,11:51:39,23.4546,90.6769,0.0,4.5,BANGLADESH,1221911499
2008,9,20,11:42:33,23.2697,90.5227,10.0,3.4,BANGLADESH,1221910953
2008,9,20,11:16:25,23.4502,90.8332,9.2,3.6,BANGLADESH,1221909385
2008,8,22,18:06:53,22.4182,92.4812,32.6,4.7,INDIA-BANGLADESH BORDER REGION,1219428413
2008,8,1,14:45:35,21.8878,92.1432,35.0,3.4,MYANMAR-BANGLADESH BORDER REGION,1217601935
2008,7,26,18:51:51,24.7434,90.5134,18.2,4.8,BANGLADESH,1217098311
2008,7,5,16:55:54,24.4001,88.4708,35.0,4.2,INDIA-BANGLADESH BORDER REGION,1215276954
2008,5,24,09:42:36,26.0981,89.7728,60.8,3.4,INDIA-BANGLADESH BORDER REGION,1211622156
2008,5,8,22:20:52,23.9702,91.1723,42.4,3.9,INDIA-BANGLADESH BORDER REGION,1210285252
2008,4,25,17:27:36,23.4724,91.6016,35.0,3.4,INDIA-BANGLADESH BORDER REGION,1209144456
2008,4,8,19:10:23,22.7011,92.0915,20.8,4.2,INDIA-BANGLADESH BORDER REGION,1207681823
2008,4,8,15:49:14,22.9551,92.6129,43.5,3.6,INDIA-BANGLADESH BORDER REGION,1207669754
2008,3,20,13:15:51,23.8905,90.0389,48.9,3.8,BANGLADESH,1206018951
2008,2,25,22:07:17,22.5139,92.0269,0.0,3.5,INDIA-BANGLADESH BORDER REGION,1203977237
2008,2,17,14:42:39,25.9188,89.927,0.0,3.2,INDIA-BANGLADESH BORDER REGION,1203259359
2008,1,31,13:22:15,22.7517,92.2863,17.5,4.9,INDIA-BANGLADESH BORDER REGION,1201785735
2008,1,15,05:51:28,22.529,91.9094,0.0,3.7,BANGLADESH,1200376288
2008,1,14,08:05:44,22.6678,92.2098,0.0,3.5,INDIA-BANGLADESH BORDER REGION,1200297944
2008,1,13,00:42:07,22.5905,92.0107,0.0,3.5,INDIA-BANGLADESH BORDER REGION,1200184927
2008,1,12,22:44:45,22.8093,92.3013,19.6,4.9,INDIA-BANGLADESH BORDER REGION,1200177885
2007,11,25,17:39:43,22.7838,92.3204,35.5,3.7,INDIA-BANGLADESH BORDER REGION,1196012383
2007,11,20,15:26:26,22.2681,92.4958,35.0,3.4,INDIA-BANGLADESH BORDER REGION,1195572386
2007,11,12,15:16:36,21.6862,91.8815,0.0,3.5,BAY OF BENGAL,1194880596
